name,username,progressive caucus,new democratic coalition,problem solvers caucus,republican governance group,republican study committee,freedom caucus
Abigail Spanberger,RepSpanberger,,True,True,,,
Adam Kinzinger,RepKinzinger,,,,True,,
Adam Schiff,RepAdamSchiff,,True,,,,
Adam Smith,RepAdamSmith,True,True,,,,
Adrian Smith,RepAdrianSmith,,,,,,
Adriano Espaillat,RepEspaillat,True,,,,,
Al Green,RepAlGreen,,,,,,
Al Lawson,RepAlLawsonJr,,True,,,,
Alan Lowenthal,RepLowenthal,True,,,,,
Albio Sires,RepSires,,,,,,
Alcee Hastings,RepHastingsFL,,,,,,
Alex Mooney,RepAlexMooney,,,,,True,True
Alex Padilla,SenAlexPadilla,,,,,,
Alexandria Ocasio-Cortez,RepAOC,True,,,,,
Alma Adams,RepAdams,True,,,,,
Amata Radewagen,RepAmata,,,,,,
Ami Bera,RepBera,,True,,,,
Amy Klobuchar,SenAmyKlobuchar,,,,,,
Andre Carson,RepAndreCarson,True,True,,,,
Andrew Clyde,Rep_Clyde,,,,,True,True
Andrew Garbarino,RepGarbarino,,,True,True,,
Andy Barr,RepAndyBarr,,,,,True,
Andy Biggs,RepAndyBiggsAZ,,,,,,True
Andy Harris,RepAndyHarrisMD,,,,,,True
Andy Kim,RepAndyKimNJ,True,,,,,
Andy Levin,RepAndyLevin,True,,,,,
Angie Craig,RepAngieCraig,,True,,,,
Angus King,SenAngusKing,,,,,,
Ann Kirkpatrick,RepKirkpatrick,,True,,,,
Ann McLane Kuster,RepAnnieKuster,,True,,,,
Ann Wagner,RepAnnWagner,,,,,True,
Anna Eshoo,RepAnnaEshoo,,,,,,
Anthony Brown,RepAnthonyBrown,,True,,,,
Anthony Gonzalez,RepAGonzalez,,,True,,,
Antonio Delgado,repdelgado,,,,,,
Ashley Hinson,RepAshleyHinson,,,,,True,
August Pfluger,RepPfluger,,,,,True,
Austin Scott,AustinScottGA08,,,,,True,
Ayanna Pressley,RepPressley,True,,,,,
Barbara Lee,RepBarbaraLee,True,,,,,
Barry Loudermilk,RepLoudermilk,,,,,True,
Barry Moore,RepBarryMoore,,,,,True,True
Ben Cline,RepBenCline,,,True,,True,True
Ben Lujan,SenatorLujan,,,,,,
Ben Sasse,SenSasse,,,,,,
Benjamin Cardin,SenatorCardin,,,,,,
Bernie Sanders,SenSanders,True,,,,,
Bernie Thompson,BennieGThompson,,,,,,
Beth Van Duyne,RepBethVanDuyne,,,,True,True,
Betty McCollum,BettyMcCollum04,,,,,,
Bill Cassidy,SenBillCassidy,,,,,,
Bill Foster,RepBillFoster,,True,,,,
Bill Hagerty,SenatorHagerty,,,,,,
Bill Huizenga,RepHuizenga,,,,,True,
Bill Johnson,RepBillJohnson,,,True,True,True,
Bill Keating,USRepKeating,,True,,,,
Bill Pascrell,BillPascrell,,,,,,
Bill Posey,congbillposey,,,,,True,True
Billy Long,USRepLong,,,,,,
Blaine Luetkemeyer,RepBlaine,,,,,True,
Blake Moore,RepBlakeMoore,,,,True,True,
Bob Gibbs,RepBobGibbs,,,,,True,
Bob Good,RepBobGood,,,,,True,True
Bob Menendez,SenatorMenendez,,,,,,
Bobby Rush,RepBobbyRush,,,,,,
Bonnie Watson Coleman,RepBonnie,True,,,,,
Brad Schneider,RepSchneider,,True,True,,,
Brad Sherman,BradSherman,True,,,,,
Brad Wenstrup,RepBradWenstrup,,,,,True,
Brenda Lawrence,RepLawrence,True,True,,,,
Brendan Boyle,CongBoyle,True,True,,,,
Brett Guthrie,RepGuthrie,,,,,True,
Brian Babin,RepBrianBabin,,,,,True,
Brian Fitzpatrick,RepBrianFitz,,,True,True,,
Brian Higgins,RepBrianHiggins,,,,,,
Brian Mast,RepBrianMast,,,,,True,
Brian Schatz,SenBrianSchatz,,,,,,
Bruce Westerman,RepWesterman,,,,,True,
Bryan Steil,RepBryanSteil,,,True,True,True,
Buddy Carter,RepBuddyCarter,,,,,True,
Burgess Owens,RepBurgessOwens,,,,,True,
Byron Donalds,RepDonaldsPress,,,,,True,True
Carlos Gimenez,RepCarlos,,,,True,True,
Carol Miller,RepCarolMiller,,,,,,
Carolyn Bourdeaux,RepBourdeaux,,True,True,,,
Carolyn Maloney,RepMaloney,True,,,,,
Catherine Cortez Masto,SenCortezMasto,,,,,,
Cathy McMorris Rodgers,cathymcmorris,,,,True,True,
Charles Schumer,SenSchumer,,,,,,
Charlie Crist,RepCharlieCrist,,True,,,,
Chellie Pingree,chelliepingree,True,,,,,
Cheri Bustos,RepCheri,,True,,,,
Chip Roy,RepChipRoy,,,,,True,True
Chris Jacobs,RepJacobs,,,,True,True,
Chris Pappas,RepChrisPappas,,True,,,,
Chris Smith,,,,True,True,,
Chris Stewart,RepChrisStewart,,,,,True,
Chris Van Hollen,ChrisVanHollen,,,,,,
Chrissy Houlahan,RepHoulahan,,True,True,,,
Chrissy Houlahan,RepHoulahan,,True,True,,,
Christopher Coons,ChrisCoons,,,,,,
Christopher Murphy,ChrisMurphyCT,,,,,,
Chuck Fleischmann,RepChuck,,,,,True,
Chuck Grassley,ChuckGrassley,,,,,,
Cindy Axne,RepCindyAxne,,True,,,,
Cindy Hyde-Smith,SenHydeSmith,,,,,,
Claudia Tenney,RepTenney,,,,,True,
Clay Higgins,RepClayHiggins,,,,,True,True
Cliff Bentz,RepBentz,,,,True,True,
Colin Allred,RepColinAllred,,True,,,,
Conor Lamb,RepConorLamb,,,True,,,
Cori Bush,RepCori,True,,,,,
Cory Booker,CoryBooker,,,,,,
Cynthia Lummis,SenLummis,,,,,,
Dan Bishop,RepDanBishop,,,,,True,True
Dan Crenshaw,RepDanCrenshaw,,,,,True,
Dan Kildee,RepDanKildee,True,,,,,
Dan Newhouse,RepNewhouse,,,,,True,
Dan Sullivan,SenDanSullivan,,,,,,
Daniel Meuser,RepMeuser,,,True,,True,
Daniel Webster,RepWebster,,,,,True,
Danny Davis,RepDannyDavis,,,,,,
Darin LaHood,RepLaHood,,,,,True,
Darrell Issa,repdarrellissa,,,,,True,
Darren Soto,RepDarrenSoto,True,True,True,,,
David Cicilline,RepCicilline,True,,,,,
David Joyce,RepDaveJoyce,,,True,True,,
David Kustoff,RepDavidKustoff,,,,,True,
David McKinley,RepMcKinley,,,,True,True,
David Price,RepDavidEPrice,,,,,,
David Rouzer,RepDavidRouzer,,,,,True,
David Schweikert,RepDavid,,,,,True,True
David Scott,repdavidscott,,True,,,,
David Trone,RepDavidTrone,,True,,,,
David Valadao,RepDavidValadao,,,,True,,
Dean Phillips,RepDeanPhillips,,True,True,,,
Deb Fischer,SenatorFischer,,,,,,
Debbie Dingell,RepDebDingell,True,,True,,,
Debbie Lesko,RepDLesko,,,,,True,True
Debbie Stabenow,SenStabenow,,,,,,
Debbie Wasserman Schultz,RepDWStweets,,True,,,,
Deborah Ross,RepDeborahRoss,,True,,,,
Debra Haaland,RepDebHaaland,,,,,,
Derek Kilmer,RepDerekKilmer,,True,,,,
Devin Nunes,RepDevinNunes,,,,,,
Diana DeGette,RepDianaDeGette,True,,,,,
Diana Harshbarger,RepHarshbarger,,,,,True,True
Dianne Feinstein,SenFeinstein,,,,,,
Dina Titus,repdinatitus,,,,,,
Don Bacon,RepDonBacon,,,True,True,True,
Don Beyer,RepDonBeyer,True,True,,,,
Don Young,repdonyoung,,,,,,
Donald McEachin,RepMcEachin,,,,,,
Donald Norcross,DonaldNorcross,True,True,,,,
Donald Payne,RepDonaldPayne,,,,,,
Doris Matsui,DorisMatsui,,,,,,
Doug LaMalfa,RepLaMalfa,,,,,True,
Doug Lamborn,RepDLamborn,,,,,True,
Drew Ferguson,RepDrewFerguson,,,,,True,
Dusty Johnson,RepDustyJohnson,,,True,,True,
Dutch Ruppersberger,Call_Me_Dutch,,,,,,
Dwight Evans,RepDwightEvans,True,,,,,
Earl Blumenauer,repblumenauer,True,,,,,
Ed Case,RepEdCase,,True,,,,
Ed Perlmutter,RepPerlmutter,,True,,,,
Eddie Bernice Johnson,RepEBJ,True,,,,,
Edward Markey,SenMarkey,,,,,,
Elaine Luria,RepElaineLuria,,True,True,,,
Eleanor Holmes Norton,EleanorNorton,True,,,,,
Elise Stefanik,RepStefanik,,,,True,True,
Elissa Slotkin,RepSlotkin,,True,True,,,
Elizabeth Warren,SenWarren,,,,,,
Emanuel Cleaver,repcleaver,,,,,,
Eric Swalwell,RepSwalwell,,,,,,
Filemon Vela,RepFilemonVela,,,,,,
Frank Lucas,RepFrankLucas,,,,,,
Frank Mrvan,RepMrvan,,True,,,,
Frank Pallone,FrankPallone,True,,,,,
Fred Keller,RepFredKeller,,,,,True,
Fred Upton,RepFredUpton,,,True,True,,
Frederica Wilson,RepWilson,True,,,,,
French Hill,RepFrenchHill,,,,,True,
G.K. Butterfield,GKButterfield,,,,,,
Garret Graves,RepGarretGraves,,,,,True,
Gary Palmer,USRepGaryPalmer,,,,,True,True
Gary Peters,SenGaryPeters,,,,,,
Gerry Connolly,GerryConnolly,,True,,,,
Glenn Grothman,RepGrothman,,,,,True,
Glenn Thompson,CongressmanGT,,,,True,,
Grace Meng,RepGraceMeng,True,,,,,
Grace Napolitano,gracenapolitano,True,,,,,
Greg Pence,RepGregPence,,,,,,
Greg Stanton,RepGregStanton,,True,,,,
Greg Steube,RepGregSteube,,,,,True,True
Gregorio Sablan,Kilili_Sablan,,,,,,
Gregory Meeks,RepGregoryMeeks,,True,,,,
Gregory Murphy,RepGregMurphy,,,,,True,
Gus Bilirakis,RepGusBilirakis,,,,,True,
Guy Reschenthaler,GReschenthaler,,,,,True,
Gwen Moore,RepGwenMoore,True,,,,,
Hakeem Jeffries,RepJeffries,True,,,,,
Haley Stevens,RepHaleyStevens,,True,True,,,
Harold Rogers,RepHalRogers,,,,,,
Henry Cuellar,RepCuellar,,True,,,,
Henry Johnson,RepHankJohnson,,,,,,
Ilhan Omar,Ilhan,True,,,,,
Jack Bergman,RepJackBergman,,,,,True,
Jack Reed,SenJackReed,,,,,,
Jackie Speier,RepSpeier,,,,,,
Jackie Walorski,RepWalorski,,,,,True,
Jacky Rosen,SenJackyRosen,,,,,,
Jahana Hayes,RepJahanaHayes,,,,,,
Jaime Herrera Beutler,HerreraBeutler,,,True,True,,
Jake Auchincloss,RepAuchincloss,,,,,,
Jake LaTurner,RepLaTurner,,,,,True,
Jamaal Bowman,RepBowman,True,,,,,
James Clyburn,WhipClyburn,,,,,,
James Comer,RepJamesComer,,,,,True,
James Inhofe,JimInhofe,,,,,,
James Lankford,SenatorLankford,,,,,,
James McGovern,RepMcGovern,True,,,,,
James Risch,SenatorRisch,,,,,,
Jamie Raskin,RepRaskin,True,,,,,
Jan Schakowsky,janschakowsky,True,,,,,
Jared Golden,RepGolden,,,True,,,
Jared Huffman,RepHuffman,True,,,,,
Jason Crow,RepJasonCrow,,True,,,,
Jason Smith,RepJasonSmith,,,,,True,
Jay Obernolte,JayObernolte,,,,True,True,
Jeanne Shaheen,SenatorShaheen,,,,,,
Jeff Duncan,RepJeffDuncan,,,,,True,True
Jeff Fortenberry,JeffFortenberry,,,,,,
Jeff Merkley,SenJeffMerkley,,,,,,
Jefferson Van Drew,Congressman_JVD,,,,True,,
Jennifer Wexton,RepWexton,,True,,,,
Jenniffer Gonzalez-Colon,RepJenniffer,,,True,True,,
Jerrold Nadler,RepJerryNadler,True,,,,,
Jerry Carl,RepJerryCarl,,,,,True,
Jerry McNerney,RepMcNerney,,,,,,
Jerry Moran,JerryMoran,,,,,,
Jesus Garcia,RepChuyGarcia,True,,,,,
Jim Baird,RepJimBaird,,,,,True,
Jim Banks,RepJimBanks,,,,,True,
Jim Cooper,repjimcooper,,True,,,,
Jim Costa,RepJimCosta,,True,True,,,
Jim Hagedorn,RepHagedorn,,,,,,
Jim Himes,jahimes,,True,,,,
Jim Jordan,Jim_Jordan,,,,,,True
Jim Langevin,JimLangevin,,,,,,
Jimmy Gomez,RepJimmyGomez,True,,,,,
Jimmy Panetta,RepJimmyPanetta,True,True,True,,,
Joaquin Castro,JoaquinCastrotx,,True,,,,
Jodey Arrington,RepArrington,,,,,True,
Jody Hice,CongressmanHice,,,,,True,True
Joe Courtney,RepJoeCourtney,,,,,,
Joe Manchin,Sen_JoeManchin,,,,,,
Joe Morelle,RepJoeMorelle,True,True,,,,
Joe Neguse,RepJoeNeguse,True,,,,,
Joe Wilson,RepJoeWilson,,,,,True,
John Barrasso,SenJohnBarrasso,,,,,,
John Boozman,JohnBoozman,,,,,,
John Carter,JudgeCarter,,,,,True,
John Cornyn,JohnCornyn,,,,,,
John Curtis,RepJohnCurtis,,,True,True,True,
John Garamendi,RepGaramendi,,,,,,
John Hickenlooper,SenatorHick,,,,,,
John Hoeven,SenJohnHoeven,,,,,,
John Joyce,RepJohnJoyce,,,,,True,
John Katko,RepJohnKatko,,,True,True,,
John Kennedy,SenJohnKennedy,,,,,,
John Larson,RepJohnLarson,,,,,,
John Moolenaar,RepMoolenaar,,,,,True,
John Rose,RepJohnRose,,,,,True,
John Rutherford,RepRutherfordFL,,,,,,
John Sarbanes,RepSarbanes,,,,,,
John Thune,SenJohnThune,,,,,,
John Yarmuth,RepJohnYarmuth,True,,,,,
Jon Ossoff,ossoff,,,,,,
Jon Tester,SenatorTester,,,,,,
Joni Ernst,SenJoniErnst,,,,,,
Josh Gottheimer,RepJoshG,,True,,,,
Josh Harder,RepJoshHarder,,True,True,,,
Josh Hawley,HawleyMO,,,,,,
Joyce Beatty,RepBeatty,,,,,,
Juan Vargas,RepJuanVargas,True,True,,,,
Judy Chu,RepJudyChu,True,,,,,
Julia Brownley,RepBrownley,,True,,,,
Julia Letlow,RepJuliaLetlow,,,,,True,
Kai Kahele,KaheleRep,True,,,,,
Karen Bass,RepKarenBass,True,,,,,
Kat Cammack,RepKatCammack,,,,,True,
Katherine Clark,RepKClark,True,,,,,
Kathleen Rice,RepKathleenRice,,True,,,,
Kathy Castor,USRepKCastor,,,,,,
Kathy Manning,RepKManning,,True,,,,
Katie Porter,RepKatiePorter,True,,,,,
Kay Granger,RepKayGranger,,,,,True,
Kelly Armstrong,RepArmstrongND,,,,True,True,
Ken Buck,RepKenBuck,,,,,True,True
Ken Calvert,KenCalvert,,,,,,
Kevin Brady,RepKevinBrady,,,,,True,
Kevin Cramer,SenKevinCramer,,,,,,
Kevin Hern,repkevinhern,,,,,True,
Kevin McCarthy,GOPLeader,,,,,,
Kim Schrier,RepKimSchrier,,True,,,,
Kirsten Gillibrand,SenGillibrand,,,,,,
Kurt Schrader,RepSchrader,,True,True,,,
Kweisi Mfume,RepKweisiMfume,,,,,,
Kyrsten Sinema,SenatorSinema,,,,,,
Lance Gooden,Lancegooden,,,,,True,
Larry Bucshon,RepLarryBucshon,,,,,True,
Lauren Boebert,RepBoebert,,,,,True,True
Lauren Underwood,RepUnderwood,,,,,,
Lee Zeldin,RepLeeZeldin,,,,,,
Linda Sanchez,RepLindaSanchez,True,,,,,
Lindsey Graham,LindseyGrahamSC,,,,,,
Lisa Blunt Rochester,RepLBR,True,True,,,,
Lisa McClain,RepLisaMcClain,,,,,True,
Lisa Murkowski,lisamurkowski,,,,,,
Liz Cheney,RepLizCheney,,,,,,
Lizzie Fletcher,RepFletcher,,True,,,,
Lloyd Doggett,RepLloydDoggett,True,,,,,
Lloyd Smucker,RepSmucker,,,True,,True,
Lois Frankel,RepLoisFrankel,True,,,,,
Lori Trahan,RepLoriTrahan,True,True,,,,
Lou Correa,RepLouCorrea,,True,True,,,
Louie Gohmert,replouiegohmert,,,,,,True
Lucille Roybal-Allard,RepRoybalAllard,,,,,,
Lucy McBath,RepLucyMcBath,,True,,,,
Madeleine Dean,RepDean,True,True,,,,
Madison Cawthorn,RepCawthorn,,,,,True,True
Marc Veasey,RepVeasey,,True,,,,
Marcia Fudge,RepMarciaFudge,,,,,,
Marco Rubio,marcorubio,,,,,,
Marcy Kaptur,RepMarcyKaptur,,,,,,
Margaret Hassan,SenatorHassan,,,,,,
Maria Cantwell,SenatorCantwell,,,,,,
Maria Salazar,RepMariaSalazar,,,,True,,
Mariannette Miller-Meeks,RepMMM,,,,True,,
Marie Newman,RepMarieNewman,True,,,,,
Marilyn Strickland,RepStricklandWA,,True,,,,
Mario Diaz-Balart,MarioDB,,,,True,,
Marjorie Taylor Greene,RepMTG,,,,,True,
Mark Amodei,MarkAmodeiNV2,,,True,True,,
Mark DeSaulnier,RepDeSaulnier,True,,,,,
Mark Green,RepMarkGreen,,,,,True,True
Mark Kelly,SenMarkKelly,,,,,,
Mark Pocan,repmarkpocan,True,,,,,
Mark Takano,RepMarkTakano,True,,,,,
Mark Warner,MarkWarner,,,,,,
Markwayne Mullin,RepMullin,,,,,True,
Marsha Blackburn,MarshaBlackburn,,,,,,
Martin Heinrich,MartinHeinrich,,,,,,
Mary Gay Scanlon,RepMGS,True,,,,,
Mary Miller,RepMaryMiller,,,,,True,True
Matt Cartwright,RepCartwright,True,,,,,
Matt Gaetz,RepMattGaetz,,,,,,
Matthew Rosendale,RepRosendale,,,,,True,True
Maxine Waters,RepMaxineWaters,True,,,,,
Mazie Hirono,maziehirono,,,,,,
Michael Bennet,SenatorBennet,,,,,,
Michael Burgess,michaelcburgess,,,,True,True,
Michael Cloud,RepCloudTX,,,,,True,True
Michael Doyle,USRepMikeDoyle,,,,,,
Michael Guest,RepMichaelGuest,,,,,,
Michael McCaul,RepMcCaul,,,,True,True,
Michael San Nicolas,GuamCongressman,,,,,,
Michael Waltz,michaelgwaltz,,,,,True,
Michelle Fischbach,RepFischbach,,,,,True,
Michelle Steel,RepSteel,,,,True,,
Mike Bost,RepBost,,,True,True,True,
Mike Braun,SenatorBraun,,,,,,
Mike Carey,RepMikeCarey,,,,,True,
Mike Crapo,MikeCrapo,,,,,,
Mike Gallagher,RepGallagher,,,True,True,True,
Mike Garcia,RepMikeGarcia,,,,,True,
Mike Johnson,RepMikeJohnson,,,,,True,
Mike Kelly,MikeKellyPA,,,,,True,
Mike Lee,SenMikeLee,,,,,,
Mike Levin,RepMikeLevin,True,,,,,
Mike Quigley,RepMikeQuigley,,True,,,,
Mike Rogers,RepMikeRogersAL,,,,,True,
Mike Rounds,SenatorRounds,,,,,,
Mike Simpson,CongMikeSimpson,,,,,,
Mike Thompson,RepThompson,,,,,,
Mike Turner,RepMikeTurner,,,,True,True,
Mikie Sherrill,RepSherrill,,True,,,,
Mitch McConnell,senatemajldr,,,,,,
Mitt Romney,SenatorRomney,,,,,,
Mo Brooks,RepMoBrooks,,,,,,True
Mondaire Jones,RepMondaire,True,,,,,
Morgan Griffith,RepMGriffith,,,,,,True
Nancy Mace,RepNancyMace,,,,True,,
Nancy Pelosi,SpeakerPelosi,,,,,,
Nanette Barragan,RepBarragan,True,,,,,
Neal Dunn,DrNealDunnFL2,,,,,True,
Nicole Malliotakis,RepMalliotakis,,,,True,True,
Nikema Williams,RepNikema,True,True,,,,
Norma Torres,NormaJTorres,,True,,,,
Nydia Velazquez,NydiaVelazquez,True,,,,,
Pat Fallon,RepPatFallon,,,,,True,
Patrick Leahy,SenatorLeahy,,,,,,
Patrick McHenry,PatrickMcHenry,,,,,True,
Patrick Toomey,SenToomey,,,,,,
Patty Murrary,PattyMurray,,,,,,
Paul Gosar,RepGosar,,,,,True,True
Paul Tonko,RepPaulTonko,,,,,,
Pete Aguilar,RepPeteAguilar,,True,,,,
Pete Sessions,PeteSessions,,,,,,
Pete Stauber,RepPeteStauber,,,True,True,True,
Peter DeFazio,RepPeterDeFazio,True,,,,,
Peter Meijer,RepMeijer,,,True,True,,
Peter Welch,PeterWelch,True,,,,,
Pramila Jayapal,RepJayapal,True,,,,,
Raja Krishnamoorthi,CongressmanRaja,,True,,,,
Ralph Norman,RepRalphNorman,,,,,True,True
Rand Paul,RandPaul,,,,,,
Randy Feenstra,RepFeenstra,,,,,True,
Randy Weber,TXRandy14,,,,,True,True
Raphael Warnock,SenatorWarnock,,,,,,
Rashida Tlaib,RepRashida,True,,,,,
Raul Grijalva,RepRaulGrijalva,True,,,,,
Raul Ruiz,RepRaulRuizMD,,True,,,,
Richard Blumenthal,SenBlumenthal,,,,,,
Richard Burr,SenatorBurr,,,,,,
Richard Durbin,SenatorDurbin,,,,,,
Richard Hudson,RepRichHudson,,,,,True,
Richard Neal,RepRichardNeal,,,,,,
Richard Shelby,SenShelby,,,,,,
Rick Allen,RepRickAllen,,,,,True,
Rick Crawford,RepRickCrawford,,,,,,
Rick Larsen,RepRickLarsen,,True,,,,
Rick Scott,SenRickScott,,,,,,
Ritchie Torres,RepRitchie,True,,,,,
Ro Khanna,RepRoKhanna,True,,,,,
Rob Portman,senrobportman,,,,,,
Robert Aderholt,Robert_Aderholt,,,,,True,
Robert Casey,SenBobCasey,,,,,,
Robert Latta,boblatta,,,,,True,
Robert Scott,BobbyScott,,,,,,
Robert Wittman,RobWittman,,,,,True,
Robin Kelly,RepRobinKelly,,,,,,
Rodney Davis,RodneyDavis,,,,True,,
Roger Marshall,SenatorMarshall,,,,,,
Roger Wicker,SenatorWicker,,,,,,
Roger Williams,RepRWilliams,,,,,True,
Ron Estes,RepRonEstes,,,,,True,
Ron Johnson,SenRonJohnson,,,,,,
Ron Kind,RepRonKind,,,,,,
Ron Wright,RepRonWright,,,,,,
Ron Wyden,RonWyden,,,,,,
Ronny Jackson,RepRonnyJackson,,,,,True,
Rosa DeLauro,rosadelauro,True,,,,,
Roy Blunt,RoyBlunt,,,,,,
Ruben Gallego,RepRubenGallego,True,,,,,
Russ Fulcher,RepRussFulcher,,,,,True,True
Salud Carbajal,RepCarbajal,,True,True,,,
Sam Graves,RepSamGraves,,,,,,
Sanford Bishop Jr.,SanfordBishop,,,,,,
Sara Jacobs,RepSaraJacobs,,True,,,,
Scott DesJarlais,DesJarlaisTN04,,,,,True,True
Scott Fitzgerald,RepFitzgerald,,,,,True,
Scott Franklin,RepFranklin,,,,,True,
Scott Perry,RepScottPerry,,,,,,
Scott Peters,RepScottPeters,,True,True,,,
Sean Casten,RepCasten,,True,,,,
Sean Patrick Maloney,RepSeanMaloney,,True,,,,
Seth Moulton,teammoulton,,True,,,,
Sharice Davids,RepDavids,,True,,,,
Sheila Jackson Lee,JacksonLeeTX18,True,,,,,
Sheldon Whitehouse,SenWhitehouse,,,,,,
Shelley Capito,SenCapito,,,,,,
Sherrod Brown,SenSherrodBrown,,,,,,
Stacey Plaskett,StaceyPlaskett,,True,,,,
Steny Hoyer,LeaderHoyer,,,,,,
Stephanie Bice,RepBice,,,,,,
Stephanie Murphy,RepStephMurphy,,True,True,,,
Stephen Lynch,RepStephenLynch,,,,,,
Steve Chabot,RepSteveChabot,,,,,True,
Steve Cohen,RepCohen,True,,,,,
Steve Daines,SteveDaines,,,,,,
Steve Scalise,SteveScalise,,,,,True,
Steve Stivers,RepSteveStivers,,,,,,
Steve Womack,rep_stevewomack,,,,True,,
Steven Horsford,RepHorsford,True,True,True,,,
Steven Palazzo,CongPalazzo,,,,,True,
Susan Collins,SenatorCollins,,,,,,
Susan Wild,RepSusanWild,,True,,,,
Susie Lee,RepSusieLee,,True,True,,,
Suzan DelBene,RepDelBene,,True,,,,
Suzanne Bonamici,RepBonamici,True,,,,,
Sylvia Garcia,RepSylviaGarcia,True,,,,,
Tammy Baldwin,SenatorBaldwin,,,,,,
Tammy Duckworth,SenDuckworth,,,,,,
Ted Budd,RepTedBudd,,,,,True,True
Ted Cruz,SenTedCruz,,,,,,
Ted Deutch,RepTedDeutch,,,,,,
Ted Lieu,RepTedLieu,True,,,,,
Teresa Leger Fernandez,RepTeresaLF,True,,,,,
Terri Sewell,RepTerriSewell,,True,,,,
Thom Tillis,SenThomTillis,,,,,,
Thomas Carper,SenatorCarper,,,,,,
Thomas Massie,RepThomasMassie,,,,,,
Thomas Suozzi,RepTomSuozzi,,True,True,,,
Thomas Tiffany,RepTiffany,,,,,True,True
Tim Burchett,RepTimBurchett,,,,,True,
Tim Kaine,timkaine,,,,,,
Tim Ryan,RepTimRyan,,,,,,
Tim Scott,SenatorTimScott,,,,,,
Tim Walberg,RepWalberg,,,,,True,
Tina Smith,SenTinaSmith,,,,,,
Todd Young,SenToddYoung,,,,,,
Tom Cole,TomColeOK04,,,,,True,
Tom Cotton,SenTomCotton,,,,,,
Tom Emmer,RepTomEmmer,,,,,True,
Tom Malinowski,RepMalinowski,,True,True,,,
Tom McClintock,RepMcClintock,,,,,True,
Tom O'Halleran,RepOHalleran,,True,True,,,
Tom Reed,RepTomReed,,,,,True,
Tom Rice,RepTomRice,,,True,True,True,
Tommy Tuberville,SenTuberville,,,,,,
Tony Cardenas,RepCardenas,,True,,,,
Tony Gonzales,RepTonyGonzales,,,True,,True,
Tracey Mann,RepMann,,,,,True,
Trent Kelly,RepTrentKelly,,,,,True,
Trey Hollingsworth,RepTrey,,,,,,
Troy Balderson,RepBalderson,,,,True,True,
Troy Nehls,RepTroyNehls,,,,,True,
Val Demings,RepValDemings,,True,,,,
Van Taylor,RepVanTaylor,,,True,,True,
Vern Buchanan,VernBuchanan,,,,,True,
Veronica Escobar,RepEscobar,True,True,,,,
Vicente Gonzalez,RepGonzalez,,,True,,,
Vicky Hartzler,RepHartzler,,,,,True,
Victoria Spartz,RepSpartz,,,,,True,
Virginia Foxx,virginiafoxx,,,,,True,
Warren Davidson,WarrenDavidson,,,,,True,True
William Timmons,RepTimmons,,,,,True,
Young Kim,RepYoungKim,,,True,True,,
Yvette Clarke,RepYvetteClarke,True,,,,,
Yvette Herrell,RepHerrell,,,,,True,True
Zoe Lofgren,RepZoeLofgren,True,,,,,
