,username,party
0,SenatorBaldwin,Democrat
1,SenJohnBarrasso,Republican
2,SenatorBennet,Democrat
3,MarshaBlackburn,Republican
4,SenBlumenthal,Democrat
5,RoyBlunt,Republican
6,CoryBooker,Democrat
7,JohnBoozman,Republican
8,SenatorBraun,Republican
9,SenSherrodBrown,Democrat
10,SenatorCantwell,Democrat
11,SenCapito,Republican
12,SenatorCardin,Democrat
13,SenatorCarper,Democrat
14,SenBobCasey,Democrat
15,SenBillCassidy,Republican
16,ChrisCoons,Democrat
17,JohnCornyn,Republican
18,SenCortezMasto,Democrat
19,SenTomCotton,Republican
20,SenKevinCramer,Republican
21,MikeCrapo,Republican
22,SenTedCruz,Republican
23,SteveDaines,Republican
24,SenDuckworth,Democrat
25,SenatorDurbin,Democrat
26,SenJoniErnst,Republican
27,SenFeinstein,Democrat
28,SenatorFischer,Republican
29,SenGillibrand,Democrat
30,LindseyGrahamSC,Republican
31,ChuckGrassley,Republican
32,SenatorHagerty,Republican
33,SenatorHassan,Democrat
34,HawleyMO,Republican
35,MartinHeinrich,Democrat
36,SenatorHick,Democrat
37,maziehirono,Democrat
38,SenJohnHoeven,Republican
39,SenHydeSmith,Republican
40,JimInhofe,Republican
41,SenRonJohnson,Republican
42,timkaine,Democrat
43,SenMarkKelly,Democrat
44,SenJohnKennedy,Republican
45,SenAngusKing,Democrat
46,SenAmyKlobuchar,Democrat
47,SenatorLankford,Republican
48,SenatorLeahy,Democrat
49,SenMikeLee,Republican
50,SenatorLujan,Democrat
51,SenLummis,Republican
52,Sen_JoeManchin,Democrat
53,SenMarkey,Democrat
54,SenatorMenendez,Democrat
55,SenJeffMerkley,Democrat
56,JerryMoran,Republican
57,lisamurkowski,Republican
58,ChrisMurphyCT,Democrat
59,PattyMurray,Democrat
60,ossoff,Democrat
61,SenAlexPadilla,Democrat
62,RandPaul,Republican
63,SenGaryPeters,Democrat
64,senrobportman,Republican
65,SenJackReed,Democrat
66,SenatorRisch,Republican
67,SenatorRomney,Republican
68,SenJackyRosen,Democrat
69,marcorubio,Republican
70,SenSanders,Democrat
71,SenSchumer,Democrat
72,SenRickScott,Republican
73,SenatorTimScott,Republican
74,SenatorShaheen,Democrat
75,SenatorSinema,Democrat
76,SenTinaSmith,Democrat
77,SenStabenow,Democrat
78,SenDanSullivan,Republican
79,SenatorTester,Democrat
80,SenJohnThune,Republican
81,SenThomTillis,Republican
82,SenToomey,Republican
83,SenTuberville,Republican
84,ChrisVanHollen,Democrat
85,MarkWarner,Democrat
86,SenatorWarnock,Democrat
87,SenWarren,Democrat
88,SenWhitehouse,Democrat
89,SenatorWicker,Republican
90,RonWyden,Democrat
91,SenToddYoung,Republican
92,RepAdams,Democrat
93,Robert_Aderholt,Republican
94,RepPeteAguilar,Democrat
95,RepRickAllen,Republican
96,RepColinAllred,Democrat
97,RepArmstrongND,Republican
98,RepArrington,Republican
99,RepAuchincloss,Democrat
100,RepCindyAxne,Democrat
101,RepBrianBabin,Republican
102,RepDonBacon,Republican
103,RepJimBaird,Republican
104,RepBalderson,Republican
105,RepJimBanks,Republican
106,RepAndyBarr,Republican
107,RepBarragan,Democrat
108,RepKarenBass,Democrat
109,RepBeatty,Democrat
110,RepBera,Democrat
111,RepDonBeyer,Democrat
112,RepBice,Republican
113,RepAndyBiggsAZ,Republican
114,RepGusBilirakis,Republican
115,SanfordBishop,Democrat
116,RepDanBishop,Republican
117,RepLBR,Democrat
118,RepBoebert,Republican
119,RepBonamici,Democrat
120,RepBost,Republican
121,RepBourdeaux,Democrat
122,RepBowman,Democrat
123,CongBoyle,Democrat
124,RepKevinBrady,Republican
125,RepMoBrooks,Republican
126,RepAnthonyBrown,Democrat
127,RepShontelBrown,Democrat
128,RepBrownley,Democrat
129,VernBuchanan,Republican
130,RepKenBuck,Republican
131,RepLarryBucshon,Republican
132,RepTedBudd,Republican
133,RepTimBurchett,Republican
134,michaelcburgess,Republican
135,RepCori,Democrat
136,RepCheri,Democrat
137,RepKatCammack,Republican
138,RepCarbajal,Democrat
139,RepCardenas,Democrat
140,RepMikeCarey,Republican
141,RepJerryCarl,Republican
142,RepAndreCarson,Democrat
143,RepBuddyCarter,Republican
144,JudgeCarter,Republican
145,RepTroyCarter,Democrat
146,RepEdCase,Democrat
147,RepCasten,Democrat
148,USRepKCastor,Democrat
149,JoaquinCastrotx,Democrat
150,RepCawthorn,Republican
151,RepSteveChabot,Republican
152,RepLizCheney,Republican
153,CongresswomanSC,Republican
154,RepJudyChu,Democrat
155,RepKClark,Democrat
156,RepYvetteClarke,Democrat
157,repcleaver,Democrat
158,RepBenCline,Republican
159,RepCloudTX,Republican
160,WhipClyburn,Democrat
161,Rep_Clyde,Republican
162,RepCohen,Democrat
163,TomColeOK04,Republican
164,RepJamesComer,Republican
165,GerryConnolly,Democrat
166,RepLouCorrea,Democrat
167,RepJimCosta,Democrat
168,RepJoeCourtney,Democrat
169,RepAngieCraig,Democrat
170,RepCharlieCrist,Democrat
171,RepJasonCrow,Democrat
172,RepJohnCurtis,Republican
173,RepDavids,Democrat
174,WarrenDavidson,Republican
175,RodneyDavis,Republican
176,RepDean,Democrat
177,RepPeterDeFazio,Democrat
178,RepDianaDeGette,Democrat
179,rosadelauro,Democrat
180,RepDelBene,Democrat
181,repdelgado,Democrat
182,RepValDemings,Democrat
183,RepDeSaulnier,Democrat
184,RepTedDeutch,Democrat
185,MarioDB,Republican
186,RepDebDingell,Democrat
187,RepLloydDoggett,Democrat
188,RepDonaldsPress,Republican
189,USRepMikeDoyle,Democrat
190,RepJeffDuncan,Republican
191,DrNealDunnFL2,Republican
192,RepTomEmmer,Republican
193,RepEscobar,Democrat
194,RepAnnaEshoo,Democrat
195,RepEspaillat,Democrat
196,RepRonEstes,Republican
197,RepDwightEvans,Democrat
198,RepPatFallon,Republican
199,RepFeenstra,Republican
200,RepDrewFerguson,Republican
201,RepFischbach,Republican
202,RepBrianFitz,Republican
203,RepChuck,Republican
204,RepFletcher,Democrat
205,RepBillFoster,Democrat
206,virginiafoxx,Republican
207,RepLoisFrankel,Democrat
208,RepFranklin,Democrat
209,RepRussFulcher,Republican
210,RepMattGaetz,Republican
211,RepGallagher,Republican
212,RepRubenGallego,Democrat
213,RepGaramendi,Democrat
214,RepGarbarino,Republican
215,RepChuyGarcia,Democrat
216,RepMikeGarcia,Republican
217,RepSylviaGarcia,Democrat
218,RepBobGibbs,Republican
219,RepCarlos,Republican
220,replouiegohmert,Republican
221,RepGolden,Democrat
222,RepJimmyGomez,Democrat
223,RepTonyGonzales,Republican
224,RepJenniffer,Republican
225,RepGonzalez,Democrat
226,RepBobGood,Republican
227,Lancegooden,Republican
228,RepGosar,Republican
229,RepJoshG,Democrat
230,RepKayGranger,Republican
231,RepGarretGraves,Republican
232,RepAlGreen,Democrat
233,RepMarkGreen,Republican
234,RepMTG,Republican
235,RepMGriffith,Republican
236,RepRaulGrijalva,Democrat
237,RepGrothman,Republican
238,RepMichaelGuest,Republican
239,RepGuthrie,Republican
240,RepJoshHarder,Democrat
241,RepHarshbarger,Republican
242,RepHartzler,Republican
243,RepJahanaHayes,Democrat
244,repkevinhern,Republican
245,RepHerrell,Republican
246,CongressmanHice,Republican
247,RepBrianHiggins,Democrat
248,RepClayHiggins,Republican
249,RepFrenchHill,Republican
250,jahimes,Democrat
251,RepAshleyHinson,Republican
252,RepHorsford,Democrat
253,RepHoulahan,Democrat
254,LeaderHoyer,Democrat
255,RepRichHudson,Republican
256,RepHuffman,Democrat
257,RepHuizenga,Republican
258,repdarrellissa,Republican
259,JacksonLeeTX18,Democrat
260,RepRonnyJackson,Republican
261,RepJacobs,Republican
262,RepSaraJacobs,Democrat
263,RepJayapal,Democrat
264,RepJeffries,Democrat
265,RepBillJohnson,Republican
266,RepDustyJohnson,Republican
267,RepEBJ,Democrat
268,RepHankJohnson,Democrat
269,RepMikeJohnson,Republican
270,RepMondaire,Democrat
271,Jim_Jordan,Republican
272,RepDaveJoyce,Republican
273,RepJohnJoyce,Republican
274,RepJohnKatko,Republican
275,USRepKeating,Democrat
276,RepFredKeller,Republican
277,MikeKellyPA,Republican
278,RepRobinKelly,Democrat
279,RepRoKhanna,Democrat
280,RepDanKildee,Democrat
281,RepDerekKilmer,Democrat
282,RepAndyKimNJ,Democrat
283,RepYoungKim,Republican
284,RepRonKind,Democrat
285,RepKirkpatrick,Democrat
286,CongressmanRaja,Democrat
287,RepAnnieKuster,Democrat
288,RepDavidKustoff,Republican
289,RepLaHood,Republican
290,RepLaMalfa,Republican
291,JimLangevin,Democrat
292,RepRickLarsen,Democrat
293,RepJohnLarson,Democrat
294,boblatta,Republican
295,RepLaTurner,Republican
296,RepLawrence,Democrat
297,RepAlLawsonJr,Democrat
298,RepBarbaraLee,Democrat
299,RepSusieLee,Democrat
300,RepTeresaLF,Democrat
301,RepDLesko,Republican
302,RepJuliaLetlow,Republican
303,RepAndyLevin,Democrat
304,RepMikeLevin,Democrat
305,RepTedLieu,Democrat
306,USRepLong,Republican
307,RepLoudermilk,Republican
308,RepLowenthal,Democrat
309,RepFrankLucas,Republican
310,RepBlaine,Republican
311,RepElaineLuria,Democrat
312,RepNancyMace,Republican
313,RepMalinowski,Democrat
314,RepMalliotakis,Republican
315,RepMaloney,Democrat
316,RepSeanMaloney,Democrat
317,RepKManning,Democrat
318,RepThomasMassie,Republican
319,RepBrianMast,Republican
320,DorisMatsui,Democrat
321,RepLucyMcBath,Democrat
322,GOPLeader,Republican
323,RepMcCaul,Republican
324,RepLisaMcClain,Republican
325,BettyMcCollum04,Democrat
326,RepMcEachin,Democrat
327,RepMcGovern,Democrat
328,PatrickMcHenry,Republican
329,RepMcKinley,Republican
330,RepGregoryMeeks,Democrat
331,RepMeijer,Republican
332,RepGraceMeng,Democrat
333,RepMeuser,Republican
334,RepKweisiMfume,Democrat
335,RepMMM,Republican
336,RepCarolMiller,Republican
337,RepMaryMiller,Republican
338,RepAlexMooney,Republican
339,RepBarryMoore,Republican
340,RepBlakeMoore,Republican
341,RepGwenMoore,Democrat
342,RepJoeMorelle,Democrat
343,RepMullin,Democrat
344,RepGregMurphy,Republican
345,RepStephMurphy,Democrat
346,RepJerryNadler,Democrat
347,gracenapolitano,Democrat
348,RepRichardNeal,Democrat
349,RepJoeNeguse,Democrat
350,RepTroyNehls,Republican
351,RepNewhouse,Republican
352,RepMarieNewman,Democrat
353,DonaldNorcross,Democrat
354,RepRalphNorman,Republican
355,EleanorNorton,Democrat
356,RepOHalleran,Democrat
357,JayObernolte,Republican
358,Ilhan,Democrat
359,RepBurgessOwens,Republican
360,CongPalazzo,Republican
361,FrankPallone,Democrat
362,USRepGaryPalmer,Republican
363,RepJimmyPanetta,Democrat
364,RepChrisPappas,Democrat
365,BillPascrell,Democrat
366,RepDonaldPayne,Democrat
367,SpeakerPelosi,Democrat
368,RepPerlmutter,Democrat
369,RepScottPeters,Democrat
370,RepPfluger,Republican
371,RepDeanPhillips,Democrat
372,chelliepingree,Democrat
373,StaceyPlaskett,Democrat
374,repmarkpocan,Democrat
375,RepKatiePorter,Democrat
376,RepPressley,Democrat
377,RepDavidEPrice,Democrat
378,RepMikeQuigley,Democrat
379,RepRaskin,Democrat
380,GReschenthaler,Republican
381,RepKathleenRice,Democrat
382,RepTomRice,Republican
383,cathymcmorris,Republican
384,RepMikeRogersAL,Republican
385,RepJohnRose,Republican
386,RepRosendale,Republican
387,RepDeborahRoss,Democrat
388,RepDavidRouzer,Republican
389,RepChipRoy,Republican
390,RepRoybalAllard,Democrat
391,RepRaulRuizMD,Republican
392,Call_Me_Dutch,Democrat
393,RepBobbyRush,Democrat
394,RepTimRyan,Democrat
395,Kilili_Sablan,Democrat
396,RepMariaSalazar,Republican
397,RepLindaSanchez,Democrat
398,RepSarbanes,Democrat
399,SteveScalise,Republican
400,RepMGS,Democrat
401,janschakowsky,Democrat
402,RepAdamSchiff,Democrat
403,RepSchneider,Democrat
404,RepSchrader,Democrat
405,RepKimSchrier,Democrat
406,RepDavid,Republican
407,AustinScottGA08,Republican
408,BobbyScott,Democrat
409,PeteSessions,Republican
410,RepTerriSewell,Democrat
411,BradSherman,Democrat
412,RepSherrill,Democrat
413,CongMikeSimpson,Republican
414,RepSires,Democrat
415,RepSlotkin,Democrat
416,RepAdamSmith,Democrat
417,RepAdrianSmith,Republican
418,RepJasonSmith,Republican
419,RepSmucker,Republican
420,RepDarrenSoto,Democrat
421,RepSpanberger,Democrat
422,RepSpartz,Republican
423,RepSpeier,Democrat
424,Rep_Stansbury,Democrat
425,RepGregStanton,Democrat
426,RepPeteStauber,Republican
427,RepSteel,Republican
428,RepStefanik,Republican
429,RepBryanSteil,Republican
430,RepGregSteube,Republican
431,RepHaleyStevens,Democrat
432,RepChrisStewart,Republican
433,RepStricklandWA,Democrat
434,RepTomSuozzi,Democrat
435,RepSwalwell,Democrat
436,RepMarkTakano,Democrat
437,claudiatenney,Republican
438,BennieGThompson,Democrat
439,RepThompson,Democrat
440,RepTiffany,Republican
441,RepTimmons,Republican
442,repdinatitus,Democrat
443,RepRashida,Democrat
444,RepPaulTonko,Democrat
445,NormaJTorres,Democrat
446,RepRitchie,Democrat
447,RepLoriTrahan,Democrat
448,RepDavidTrone,Democrat
449,RepMikeTurner,Republican
450,RepUnderwood,Democrat
451,RepDavidValadao,Republican
452,RepBethVanDuyne,Republican
453,RepJuanVargas,Democrat
454,RepVeasey,Democrat
455,NydiaVelazquez,Democrat
456,RepAnnWagner,Republican
457,RepWalberg,Republican
458,RepWalorski,Republican
459,michaelgwaltz,Republican
460,RepDWStweets,Democrat
461,RepBonnie,Democrat
462,RepWebster,Republican
463,PeterWelch,Democrat
464,RepWesterman,Republican
465,RepWexton,Democrat
466,RepSusanWild,Democrat
467,RepNikema,Democrat
468,RepRWilliams,Republican
469,RepWilson,Democrat
470,RepJoeWilson,Republican
471,RobWittman,Republican
472,rep_stevewomack,Republican
473,RepJohnYarmuth,Democrat
474,RepLeeZeldin,Republican
